cause,effect,frequency
Crecimiento urbano y expropiación,Dotación de servicios públicos,1
Crecimiento urbano y expropiación,Pérdida de usos y costumbres rurales,1
Fugas en la red hidráulica,Escasez de agua,1
Tandeo del agua,Escasez de agua,1
Escasez de agua,Conflictos por la distribución del agua,1
Captación de agua de lluvia y tinas ciegas,Recarga de mantos acuíferos,1
Presas de almacenamiento,Prevención de inundaciones,1
Organización comunitaria y ejidal,Dotación de servicios públicos,1
Programas de apoyo al campo y CORENA,Actividad agrícola y producción de oxígeno,1
Crecimiento urbano y expropiación,Tráfico y aumento de población,1
Falta de autonomía del DF,Escasez de recursos delegacionales,1
Escasez de recursos delegacionales,Infraestructura hidráulica antigua y obsoleta,1
Infraestructura hidráulica antigua y obsoleta,Fugas en la red de agua,1
Pavimentación excesiva,Infiltración de agua de lluvia,1
Extracción de agua de pozos,Hundimientos y agrietamiento del suelo,1
Zonas de riesgo por sismos y lagos,Hundimientos y agrietamiento del suelo,1
Megaproyectos urbanos,Rompimiento del tejido social,1
Rompimiento del tejido social,Delincuencia y narcomenudeo,1
Organización vecinal y seguridad,Delincuencia y narcomenudeo,1
Modelo de desarrollo extractivista,Mala administración del agua,1
Conciencia ambiental y territorial,Organización vecinal y seguridad,1
Captación y filtración pluvial,Infiltración de agua de lluvia,1
Orografía de montañas y barrancas,Asentamientos irregulares,1
Corte de cerros y terraceo,Deslizamientos de talud,1
Quema y poda inadecuada de árboles,Saturación y reblandecimiento del suelo,1
Uso de letrinas y mala canalización,Saturación y reblandecimiento del suelo,1
Saturación y reblandecimiento del suelo,Deslizamientos de talud,1
Lluvias extraordinarias,Deslizamientos de talud,1
Lluvias extraordinarias,Inundaciones y encharcamientos,1
Basura en ríos y barrancas,Taponamiento de drenaje y coladeras,1
Taponamiento de drenaje y coladeras,Inundaciones y encharcamientos,1
Programas de prevención y notificación de riesgos,Acciones de mitigación,1
"Limpieza de ríos, barrancas y desazolve",Inundaciones y encharcamientos,1
Administraciones de corto plazo,Falta de consecutividad en proyectos,1
Gobierno tolerante,Invasión de la zona lacustre,1
Invasión de la zona lacustre,Descargas de aguas negras,1
Falta de drenaje en asentamientos,Descargas de aguas negras,1
Descargas de aguas negras,Contaminación de la zona lacustre,1
Deterioro de la infraestructura de drenaje,riesgo de inundación,1
Hundimientos y levantamientos del subsuelo,Pérdida de agua por escurrimiento,1
Falta de oxigenación y circulación del agua,Contaminación de la zona lacustre,1
Cambios de uso de suelo,Crecimiento de la mancha urbana,1
Corrupción,Invasión de la zona lacustre,1
Historia agrícola,Uso de suelo,1
crecimiento urbano,Uso de suelo,1
Racionalidad tecnológica y económica,Uso de suelo,1
Organización social y cultural,Uso de suelo,1
Uso de suelo,Disponibilidad de agua,1
Extracción de acuíferos,Disponibilidad de agua,1
crecimiento urbano,Desplazamiento de la agricultura,1
Competencia de mercados agrícolas,Desplazamiento de la agricultura,1
Migración y mano de obra,Uso de suelo,1
Regulación y gobernanza del agua,Disponibilidad de agua,1
Movimientos sociales,Regulación y gobernanza del agua,1
Uso de agua tratada,Disponibilidad de agua,1
